airport_id;Airport;City;State;Country;Latitude;Longitude;Yearly Passengers
ALB;Albany International Airport;Albany;NY;USA;42,74812;-73,80298;1.518.969
BUF;Buffalo Niagara International Airport;Buffalo;NY;USA;42,94052;-78,73217;5.015.316
ELM;Elmira/Corning Regional Airport;Elmira;NY;USA;42,15991;-76,89144;301.443
BGM;Greater Binghamton Airport;Binghamton;NY;USA;42,20848;-75,97961;109.248
ROC;Greater Rochester International Airport;Rochester;NY;USA;43,11887;-77,67238;2.436.241
ITH;Ithaca Tompkins Regional Airport;Ithaca;NY;USA;42,49103;-76,45844;87.230
JFK;John F. Kennedy International AirportÂ (New York International Airport);New York;NY;USA;40,63975;-73,77893;30.788.322
LGA;LaGuardia Airport (Marine Air Terminal);New York;NY;USA;40,77724;-73,87261;8.245.192
ISP;Long Island MacArthur Airport;Islip;NY;USA;40,79524;-73,10021;1.672.491
IAG;Niagara Falls International Airport;Niagara Falls;NY;USA;43,10726;-78,94538;5.241.339
SWF;Stewart International Airport;Newburgh;NY;USA;41,50409;-74,10484;690.411
SYR;Syracuse Hancock International Airport;Syracuse;NY;USA;43,11119;-76,10631;2.593.218
HPN;Westchester County Airport;White Plains;NY;USA;41,06696;-73,70757;1.527.114
